Ciudad,Fecha y Hora,Temperatura,Sensación Térmica,Humedad,Presión,Clima,Descripción
Buenos Aires,2025-05-09 11:50:02,18.88,18.39,60,1014,Despejado,Cielo despejado
Córdoba,2025-05-09 11:57:03,17.92,18.01,86,1017,Despejado,Cielo despejado
Santa Fe,2025-05-09 11:59:05,16.98,17.03,88,1014,Nublado,Nublado
Mendoza,2025-05-09 12:00:00,16.74,15.64,45,1018,Despejado,Cielo despejado
Salta,2025-05-09 11:57:04,20.33,20.32,73,1017,Nublado,Nubes rotas
Entre Rios,2025-05-09 12:00:24,29.16,30.4,54,1015,Nublado,Pocas nubes
San Luis,2025-05-09 12:00:24,18.17,17.24,46,1017,Despejado,Cielo despejado
San Juan,2025-05-09 12:00:02,17.76,16.79,46,1018,Despejado,Cielo despejado
Neuquén,2025-05-09 11:57:02,16.94,15.79,42,1014,Despejado,Cielo despejado
La Rioja,2025-05-09 12:00:29,10.88,9.83,69,1009,Nublado,Nublado
Misiones,2025-05-09 12:00:22,16.39,15.42,51,1010,Despejado,Cielo despejado
